Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,TIME,HOUR,TIME-12,HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,TOTAL GHS
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1157.803,2.196,0_20160809_033528_803,03:35:28,3,15:35:28,15,NoID,7,0,0,PIPY;MYNA;MYDAU,8,81.871,-2.25,9.681,84.352,79.082,81.712,48.877,81.56,2.904,197.397,8.624,3.99,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2759.383,4.716,0_20160808_220204_383,22:02:04,22,10:02:04,10,PIPI,22,14,0.119915,RHFE;MYBR;MYBE,25,59.569,14.65,5.797,64.357,57.486,60.05,109.424,59.802,1.858,-70.552,4.602,26.35,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,1210.745,3.953,0_20160810_213339_745,21:33:39,21,09:33:39,9,PIPI,10,8,0.294375,MYBR;BABA,10,48.025,-47.81,2.55,50.397,46.216,47.795,250.438,47.65,0.816,139.355,1.841,5.52,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,241.324,15.475,0_20160810_211730_324,21:17:30,21,09:17:30,9,PIPI,90,55,0.136073,BABA;MYBR;PIPY;RHFE;MYBE,97,52.95,15.56,3.131,57.371,51.448,53.564,146.481,53.326,1.339,238.752,2.5,42.25,1,PIPI RHFE PIPI PIPI RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_051541.wac,0,77.785,2.313,0_20160810_051658_785,05:16:58,5,17:16:58,17,RHFE,16,14,0.139733,PINA;PIPI,17,74.549,10.08,4.66,76.986,72.767,74.542,38.814,74.652,1.02,168.27,4.286,6.1,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,3271.307,2.992,0_20160809_220944_307,22:09:44,22,10:09:44,10,RHFE,16,8,0.049725,PIPI;MYBE,16,63.195,31.63,4.298,70.298,61.676,64.633,111.843,63.634,1.811,226.822,3.242,3.27,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160808_222025.wac,0,512.771,2.328,0_20160808_222857_771,22:28:57,22,10:28:57,10,RHFE,14,14,0.680074,,14,81.902,19.08,6.257,84.305,79.698,82.115,34.025,82.812,2.247,181.331,5.261,4.62,1,RHFE RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,970.183,2.416,0_20160809_033221_183,03:32:21,3,15:32:21,15,RHFE,12,12,0.698556,,12,81.587,3.1,6.363,84.461,80.139,81.822,57.422,81.936,1.962,-46.26,5.145,4.07,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,128.352,2.047,0_20160810_211537_352,21:15:37,21,09:15:37,9,RHFE,2,2,0.744346,,2,82.908,-10.51,5.541,83.814,80.816,81.949,115.621,81.224,0.415,305.111,3.051,0.52,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2962.375,2.024,0_20160808_220527_375,22:05:27,22,10:05:27,10,RHFE,4,4,0.634197,,4,81.65,2.04,6.758,84.711,80.612,82.119,95.228,82.058,4.128,-42.099,6.368,2.31,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1867.641,4.057,0_20160809_214620_641,21:46:20,21,09:46:20,9,RHFE,22,16,0.166418,PIPI;PINA,26,70.012,27.2,5.962,74.629,66.758,70.455,95.092,70.714,1.99,162.708,4.008,8.86,1,RHFE PIPI,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,1851.105,2.093,0_20160808_214656_105,21:46:56,21,09:46:56,9,RHFE,4,4,0.490354,,4,79.647,32.18,16.157,83.203,78.258,80.131,100.25,80.62,4.562,-56.904,14.551,5.94,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,543.576,2.223,0_20160808_212508_576,21:25:08,21,09:25:08,9,RHFE,5,5,0.508647,,6,81.791,-0.64,8.276,85.01,79.928,82.136,46.954,82.222,3.485,-296.56,7.993,3.04,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_201300.wac,0,3251.748,2.251,0_20160810_210711_748,21:07:11,21,09:07:11,9,RHFE,5,5,0.605089,,5,81.83,-34.78,9.529,83.926,77.673,81.037,37.685,80.673,3.664,-143.247,6.781,3.1,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,975.533,2.265,0_20160809_033226_533,03:32:26,3,15:32:26,15,RHFE,6,6,0.64631,,8,81.572,15.51,15.133,84.67,77.174,81.857,58.997,81.96,5.31,105.285,13.712,6.9,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_211329.wac,0,110.605,2.093,0_20160810_211519_605,21:15:19,21,09:15:19,9,RHFE,6,6,0.421803,,6,81.922,4.04,10.244,86.544,79.363,82.794,417.509,82.5,1.286,-414.784,9.462,6.13,1,RHHI RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1299.172,2.227,0_20160809_033750_172,03:37:50,3,15:37:50,15,RHFE,7,7,0.653402,,8,82.381,-3.43,10.37,85.52,79.73,82.353,41.504,82.062,3.696,143.154,8.213,5.35,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1232.192,2.307,0_20160809_033643_192,03:36:43,3,15:36:43,15,RHFE,7,7,0.526482,,7,82.52,-22.99,12.926,84.956,79,82.21,41.993,82.25,2.584,-243.49,11.75,6.92,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1187.017,2.281,0_20160809_213500_017,21:35:00,21,09:35:00,9,RHFE,7,7,0.734481,,8,81.343,-22.01,9.55,84.479,78.756,80.998,45.074,80.922,1.857,104.652,8.234,4.76,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,512.655,2.144,0_20160809_212345_655,21:23:45,21,09:23:45,9,RHFE,7,7,0.742788,,7,80.714,16.73,6.194,83.131,79.026,81.261,61.537,81.404,1.547,-75.143,5.022,4.44,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,932.756,2.343,0_20160809_033143_756,03:31:43,3,15:31:43,15,RHFE,7,7,0.506015,,10,82.412,-1.04,14.625,86.563,79.215,82.391,39.388,82.157,5.679,381.771,13.279,4.68,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_211513.wac,0,1229.021,2.277,0_20160809_213542_021,21:35:42,21,09:35:42,9,RHFE,8,7,0.444452,MYBE,9,80.781,25.82,9.047,83.126,78.305,80.848,43.944,81.285,1.952,32.642,8.069,7.8,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,2682.836,2.163,0_20160808_220047_836,22:00:47,22,10:00:47,10,RHFE,8,8,0.605952,,10,80.539,43.74,7.613,83.74,77.444,81.061,150.448,81.337,3.21,127.867,6.586,4.13,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_222440.wac,0,1964.633,2.265,0_20160809_225724_633,22:57:24,22,10:57:24,10,RHFE,8,8,0.661749,,9,81.944,-8.09,7.039,85.108,78.928,81.926,60.938,82.132,1.862,169.318,5.746,6.34,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_041712.wac,0,245.991,2.308,0_20160809_042117_991,04:21:17,4,16:21:17,16,RHFE,9,8,0.296217,PINA,9,76.982,15.34,11.835,80.277,74.866,77.291,54.134,77.412,4.252,289.128,10.291,7.02,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160810_201300.wac,0,3116.848,2.351,0_20160810_210456_848,21:04:56,21,09:04:56,9,RHFE,9,9,0.552987,,11,80.282,11.07,12.038,83.928,76.245,80.611,38.806,80.769,4.977,-54.897,10.433,6.82,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1186.109,2.289,0_20160809_033557_109,03:35:57,3,15:35:57,15,RHFE,9,8,0.38999,PIPY,10,81.188,34.15,13.545,84.601,78.023,81.784,41.955,82.083,8.07,43.529,11.177,9.22,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1076.809,2.389,0_20160809_033407_809,03:34:07,3,15:34:07,15,RHFE,9,9,0.580843,,11,82.428,7.94,10.579,84.728,77.676,82.008,42.632,82.287,4.369,116.523,9.86,8.51,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160808_211605.wac,0,1032.181,2.317,0_20160808_213317_181,21:33:17,21,09:33:17,9,RHFE,9,9,0.690134,,11,81.964,-12.58,10.114,84.399,79.028,81.886,47.079,81.757,1.645,-104.337,8.782,8.01,1,RHFE,
Gunnislake,08/08/2016,25,A2,,20160809_031611.wac,0,1053.793,2.305,0_20160809_033344_793,03:33:44,3,15:33:44,15,RHFE,10,10,0.546032,,10,81.986,0.39,9.237,85.221,78.519,82.027,61.55,82.153,2.588,53.45,8.616,4.37,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160811_041542.wac,0,2824.457,2.241,0_20160811_050246_457,05:02:46,5,17:02:46,17,NoID,10,0,0,,10,81.15,0.25,11.007,84.603,77.924,81.165,24.69,80.996,2.297,-136.924,9.509,6.83,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160810_211505.wac,0,172.12,2.179,0_20160810_211757_120,21:17:57,21,09:17:57,9,RHFE,7,7,0.614528,,7,80.854,23.62,11.727,84.22,76.545,81.413,30.401,81.778,3.296,253.779,10.074,3.49,1,RHFE NYNO PIPY,
Gunnislake,08/08/2016,30,C2,,20160812_211140.wac,0,573.271,2.628,0_20160812_212113_271,21:21:13,21,09:21:13,9,RHFE,7,7,0.754065,,8,81.885,-37.42,5.141,84.396,79.435,81.083,68.566,80.825,1.476,222.702,3.686,1.96,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160812_031400.wac,0,584.651,2.348,0_20160812_032344_651,03:23:44,3,15:23:44,15,RHFE,7,7,0.738588,,8,81.539,4.18,7.556,84.595,79.548,81.626,40.897,81.867,1.814,154.723,6.278,3.06,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160811_211321.wac,0,1322.319,2.08,0_20160811_213523_319,21:35:23,21,09:35:23,9,RHFE,6,6,0.72033,,6,80.152,-0.31,8.886,82.865,77.291,80.421,44.964,80.424,2.111,185.398,7.203,4.61,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160810_041642.wac,0,1982.104,2.295,0_20160810_044944_104,04:49:44,4,16:49:44,16,RHFE,9,9,0.738107,,10,80.788,18.95,7.592,82.795,78.657,80.925,28.106,80.94,1.625,250.984,6.53,4.41,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160809_211630.wac,0,315.209,2.189,0_20160809_212145_209,21:21:45,21,09:21:45,9,RHFE,5,5,0.668998,,8,80.492,36.2,7.975,83.365,78.52,80.723,26.83,81.272,1.804,116.341,5.971,5.06,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160811_031542.wac,0,2530.451,2.348,0_20160811_035752_451,03:57:52,3,15:57:52,15,RHFE,10,10,0.729541,,10,81.254,10.95,6.189,83.729,78.858,81.332,40.871,81.507,1.509,65.636,4.702,2.69,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160810_041642.wac,0,2547.007,2.092,0_20160810_045909_007,04:59:09,4,16:59:09,16,RHFE,5,5,0.671549,,5,82.32,-1.7,5.536,85.78,80.527,82.338,37.302,82.32,0.136,304.92,5.003,1.11,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160808_211809.wac,0,1385.313,2.385,0_20160808_214114_313,21:41:14,21,09:41:14,9,RHFE,10,10,0.731389,,10,80.931,0.77,5.116,84.463,78.14,81.005,22.67,80.761,1.174,63.621,4.154,3.28,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160811_041542.wac,0,1741.601,2.297,0_20160811_044443_601,04:44:43,4,16:44:43,16,RHFE,11,11,0.652156,,13,80.602,17.5,6.553,84.564,76.884,80.696,22.089,81.232,2.258,335.303,4.601,5.68,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160808_211809.wac,0,3256.971,2.228,0_20160808_221225_971,22:12:25,22,10:12:25,10,RHFE,11,11,0.699023,,11,81.351,-4.79,9.208,84.131,77.875,81.276,25.164,80.905,2.036,166.893,7.775,6.61,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160813_001149.wac,0,920.928,2.271,0_20160813_002709_928,00:27:09,0,12:27:09,12,RHFE,11,11,0.677459,,11,82.261,1.76,7.459,85.119,79.464,82.286,26.022,82.419,1.9,86.725,4.399,5.26,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160808_221956.wac,0,1287.628,2.271,0_20160808_224123_628,22:41:23,22,10:41:23,10,RHFE,11,11,0.677728,,11,80.549,1.57,8.316,83.422,77.702,80.763,29.167,80.695,1.338,-74.067,7.62,6.89,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160811_211321.wac,0,718.269,2.329,0_20160811_212519_269,21:25:19,21,09:25:19,9,RHFE,12,12,0.71626,,12,80.977,3.37,9.35,83.237,77.085,81.056,27.986,81.119,1.83,-78.497,8.141,6.71,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160810_021613.wac,0,2004.233,2.065,0_20160810_024937_233,02:49:37,2,14:49:37,14,RHFE,4,4,0.680053,,4,80.628,2.13,14.916,83.156,78.33,80.852,46.108,81.233,1.674,-17.082,14.792,4.27,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160810_041642.wac,0,3447.091,2.308,0_20160810_051409_091,05:14:09,5,17:14:09,17,RHFE,15,14,0.56465,PIPY,15,81.115,0.06,8.812,84.195,78.123,81.288,24.172,81.437,4.97,282.277,7.856,8.49,1,RHFE,
Gunnislake,08/08/2016,30,C2,,20160812_211140.wac,0,2097.56,2.139,0_20160812_214637_560,21:46:37,21,09:46:37,9,RHFE,3,3,0.731776,,3,81.633,2.74,5.71,84.098,80.042,81.817,33.346,81.927,0.048,203.639,4.327,0.8,1,RHFE PIPY,
Gunnislake,08/08/2016,41,E2,,20160809_212152.wac,0,1879.053,606.645,0_20160809_215311_053,21:53:11,21,09:53:11,9,PIPY,17,10,0.087377,MYBE;MYNA;RHFE;MYBR,23,57.73,25.14,2.376,60.443,53.32,57.014,22558.463,57.731,1.11,-443.537,1.777,28.39,1,RHFE,
Gunnislake,08/08/2016,41,E2,,20160809_212152.wac,0,54.396,473.003,0_20160809_212246_396,21:22:46,21,09:22:46,9,RHFE,37,27,0.18918,MYBR;PIPI;PIPY,46,69.06,-12.08,5.366,72.516,66.329,70.654,6700.911,69.114,2.003,-46.179,4.37,37.39,1,RHFE RHHI PIPI RHHI RHHI PIPI,
Gunnislake,08/08/2016,41,E2,,20160809_212152.wac,0,50.712,3.587,0_20160809_212242_712,21:22:42,21,09:22:42,9,RHFE,10,10,0.631193,,10,79.627,0.3,7.859,83.444,76.616,79.656,33.479,79.63,2.6,329.958,6.612,3.15,1,RHFE,
Gunnislake,08/08/2016,41,E2,,20160809_201600.wac,0,3545.516,38.683,0_20160809_211505_516,21:15:05,21,09:15:05,9,RHFE,34,33,0.545572,PIPY,35,80.419,4.69,8.145,83.084,76.834,81.132,219.201,80.251,3.285,-276.585,6.744,14.41,1,RHFE RHHI RHHI RHHI,
Gunnislake,08/08/2016,51,F2,,20160811_211653.wac,0,2452.595,2.104,0_20160811_215745_595,21:57:45,21,09:57:45,9,RHFE,2,2,0.582784,,2,81.731,39.84,4.81,85.126,76.88,82.291,65.637,82.483,2.821,101.875,3.525,1.22,1,RHFE,
Gunnislake,08/08/2016,31,G2,,20160810_211316.wac,0,320.529,2.169,0_20160810_211836_529,21:18:36,21,09:18:36,9,RHFE,6,6,0.694254,,6,81.241,1.55,6.323,83.583,77.84,81.095,57.262,81.502,2.55,6.379,5.189,2.77,1,RHFE,
Gunnislake,08/08/2016,31,G2,,20160808_211605.wac,0,2845.997,2.301,0_20160808_220330_997,22:03:30,22,10:03:30,10,RHFE,10,10,0.721834,,11,81.131,0.95,11.928,83.974,76.159,80.974,44.979,81.286,4.079,4.401,9.886,3.42,1,RHFE,
Gunnislake,08/08/2016,23,H1,,20160812_041159.wac,0,2374.019,2.68,0_20160812_045133_019,04:51:33,4,16:51:33,16,NYNO,7,3,0.093327,NYLE;RHFE,7,31.25,15.46,2.363,32.399,30.603,31.369,369.643,31.537,0.78,224.537,2.18,1.54,1,NYCT RHFE,
Gunnislake,08/08/2016,23,H1,,20160808_211927.wac,0,3272.297,2.101,0_20160808_221359_297,22:13:59,22,10:13:59,10,RHFE,6,6,0.666218,,6,81.672,-10.39,7.775,84.498,77.222,81.66,21.822,81.933,3.064,77.964,7.229,2.19,1,RHFE,
Gunnislake,08/08/2016,23,H1,,20160808_231648.wac,0,2045.859,2.04,0_20160808_235053_859,23:50:53,23,11:50:53,11,RHFE,2,2,0.645556,,2,81.224,3.53,19.522,84.257,74.024,81.721,82.318,82.483,0.704,76.273,17.675,2.28,1,RHFE,
Gunnislake,08/08/2016,23,H1,,20160812_031217.wac,0,1891.624,2.075,0_20160812_034348_624,03:43:48,3,15:43:48,15,RHFE,6,6,0.759334,,6,81.377,6.11,6.702,83.53,79.754,81.735,27.385,81.791,0.704,65.961,6.022,2.62,1,RHFE,
Gunnislake,08/08/2016,23,H1,,20160811_041405.wac,0,2514.433,2.165,0_20160811_045559_433,04:55:59,4,16:55:59,16,RHFE,11,11,0.661043,,11,82.261,1.4,7.464,85.206,78.784,82.037,21.561,82.429,2.595,213.372,6.036,4.04,1,RHFE,
Gunnislake,08/08/2016,2,I1,,20160808_201800.wac,0,3115.463,15.436,0_20160808_210955_463,21:09:55,21,09:09:55,9,PIPY,9,5,0.112377,BABA;PIPI;MYBR,10,51.266,64.99,2.145,62.559,50.319,53.776,1566.261,52.905,1.046,536.402,1.74,5.13,1,PIPY PIPY PIPI PIPI MYO PIPY PIPI PIPY PIPI PIPY RHFE PIPI PIPY,
Gunnislake,08/08/2016,2,I1,,20160808_201800.wac,0,3214.811,8.188,0_20160808_211134_811,21:11:34,21,09:11:34,9,PIPY,4,3,0.389233,PIPI,4,52.1,30.43,2.339,60.531,51.272,53.979,1136,53.464,1.122,429.222,2.226,0.98,1,PIPY MYO PIPI PIPY PIPI RHFE RHFE PIPI PIPY,
Gunnislake,08/08/2016,2,I1,,20160808_220719.wac,0,451.669,5.929,0_20160808_221450_669,22:14:50,22,10:14:50,10,PIPY,6,5,0.418614,PIPI,7,51.502,12.14,2.217,54.751,50.193,52.035,534.44,52.219,0.571,314.949,1.631,2.74,1,PIPY PIPY MYO RHFE PIPY PIPI PIPY,
Gunnislake,08/08/2016,36,I2,,20160808_212102.wac,0,1291.776,2.023,0_20160808_214233_776,21:42:33,21,09:42:33,9,Noise,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,RHFE PIPI,
Gunnislake,08/08/2016,36,I2,,20160808_212102.wac,0,1529.795,6.204,0_20160808_214631_795,21:46:31,21,09:46:31,9,RHFE,15,14,0.453332,PIPI,18,80.283,0.31,7.866,82.553,76.596,80.278,85.465,80.396,2.941,21.96,6.908,5.57,1,RHFE PIPI,
Gunnislake,08/08/2016,55,J1,,20160808_201700.wac,0,2610.772,376.227,0_20160808_210030_772,21:00:30,21,09:00:30,9,PIPY,865,468,0.138902,BABA;PIPI;MYBR;MYBE;PINA;RHFE;MYNA;MYDAU;NYNO,956,53.409,36.96,2.39,60.922,52.223,55.486,391.744,55.007,0.893,232.663,1.997,374.29,1,PIPY PIPY PIPY PIPY PIPI PIPI PIPI PIPY PIPY RHFE PIPI PIPY PIPI PIPI MYO PIPI PIPY PIPI NYNO PIPY RHFE PIPI PIPY PIPY PIPI PIPY PIPI PIPY BABA PIPI MYO PIPI PIPI PIPY PIPI PIPI PIPI MYO MYO PIPI PIPY PIPI PIPI PIPY PIPI PIPY PIPI RHHI PIPY PIPI,
Gunnislake,08/08/2016,8,K1,,20160809_033920.wac,0,1998.233,2.165,0_20160809_041238_233,04:12:38,4,16:12:38,16,RHFE,4,4,0.672748,,5,81.646,-32.13,7.808,83.725,79.705,81.635,35.43,80.993,1.396,1.419,7.007,3.32,1,RHFE,
Gunnislake,08/08/2016,8,K1,,20160808_221604.wac,0,1567.009,2.089,0_20160808_224211_009,22:42:11,22,10:42:11,10,RHFE,6,6,0.69831,,6,81.099,0.3,11.48,83.389,79.019,81.443,25.848,81.644,0.493,253.33,10.476,6.6,1,RHFE,
Gunnislake,08/08/2016,8,K1,,20160810_014848.wac,0,350.057,0.669,0_20160810_015438_057,01:54:38,1,13:54:38,13,RHFE,3,3,0.768331,,4,81.898,-53.7,10.467,83.795,80.016,81.701,27.948,81.65,0.293,108.203,9.462,3.09,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160812_050958.wac,0,696.921,7.277,0_20160812_052134_921,05:21:34,5,17:21:34,17,NoID,19,0,0,PIPY;RHFE,22,66.214,17.18,4.709,74.471,62.959,67.364,302.267,67.083,1.292,64.444,4.138,6.41,1,RHFE PIPY,
Gunnislake,08/08/2016,16,K2,,20160812_050958.wac,0,109.007,2.192,0_20160812_051147_007,05:11:47,5,17:11:47,17,NoID,7,0,0,BABA,8,81.029,-4.41,6.08,82.857,77.895,80.882,40.635,80.636,2.547,45.911,5.616,3.51,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160813_220600.wac,0,802.129,2.069,0_20160813_221922_129,22:19:22,22,10:19:22,10,NoID,10,0,0,PIPY;RHFE;PIPI,10,67.826,15.23,8.314,71.852,66.069,68.787,143.666,69.045,0.992,11.259,7.893,15.91,1,RHFE PIPY,
Gunnislake,08/08/2016,16,K2,,20160813_210517.wac,0,170.171,3.928,0_20160813_210807_171,21:08:07,21,09:08:07,9,PIPI,6,3,0.068938,RHFE;MYBR,7,61.94,26.33,14.166,71.055,58.593,63.021,320.172,63.175,3.325,400.804,13.174,9.83,1,RHFE PIPI,
Gunnislake,08/08/2016,16,K2,,20160810_211027.wac,0,271.433,3.565,0_20160810_211458_433,21:14:58,21,09:14:58,9,PIPI,28,18,0.088559,RHFE;MYBR,28,56.964,25.89,5.963,60.32,55.189,57.583,78.413,57.903,1.669,208.962,4.155,16.73,1,RHFE PIPI,
Gunnislake,08/08/2016,16,K2,,20160812_050958.wac,0,106.647,2.252,0_20160812_051144_647,05:11:44,5,17:11:44,17,PIPY,5,3,0.104773,RHFE,6,68.115,51.36,4.681,72.374,66.95,68.671,446.042,69.063,1.397,274.135,3.15,0.89,1,RHFE PIPY,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,419.363,2.336,0_20160809_211912_363,21:19:12,21,09:19:12,9,RHFE,9,9,0.615247,,9,81.837,42.8,9.371,85.447,77.05,81.859,41.863,82.454,3.55,66.951,6.647,4.12,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160808_221450.wac,0,2238.136,2.263,0_20160808_225208_136,22:52:08,22,10:52:08,10,RHFE,9,9,0.63376,,9,80.827,1.26,12.492,83.502,77.484,80.827,48.585,81.027,1.654,-222.147,11.151,5.53,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160813_220600.wac,0,1126.913,2.185,0_20160813_222446_913,22:24:46,22,10:24:46,10,RHFE,9,9,0.758152,,10,80.933,24.4,9.693,82.656,78.302,81.266,46.353,81.081,2.162,87.67,8.544,2.71,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,1145.06,2.339,0_20160809_213118_060,21:31:18,21,09:31:18,9,RHFE,9,9,0.669691,,10,82.16,2.25,11.254,84.196,79.05,81.941,42.683,82.235,4.375,288.323,9.526,5.4,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160812_050958.wac,0,519.149,2.549,0_20160812_051837_149,05:18:37,5,17:18:37,17,RHFE,9,7,0.230491,PIPI,11,75.202,9.13,8.954,79.238,72.131,75.409,70.109,75.674,5.374,222.532,8.139,10.04,1,RHFE PIPI,
Gunnislake,08/08/2016,16,K2,,20160811_200800.wac,0,3335.331,2.268,0_20160811_210335_331,21:03:35,21,09:03:35,9,RHFE,9,9,0.704554,,9,80.293,12.18,11.188,83.115,78.742,80.711,43.785,80.74,1.272,76.574,10.038,3.59,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160810_211027.wac,0,63.971,2.328,0_20160810_211130_971,21:11:30,21,09:11:30,9,RHFE,9,9,0.604381,,9,81.844,0.96,13.923,85.43,77.129,81.93,42.285,82.432,3.562,-17.049,10.885,6.16,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,545.101,2.397,0_20160809_212118_101,21:21:18,21,09:21:18,9,RHFE,9,9,0.560796,,11,81.815,-6.75,12.425,84.582,76.436,81.568,42.349,81.687,3.842,-192.023,10.465,8.07,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,572.459,2.34,0_20160809_212145_459,21:21:45,21,09:21:45,9,RHFE,8,8,0.688357,,8,80.539,22.8,8.9,82.829,77.259,81.087,43.764,81.249,2.964,145.941,7.15,3.54,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160813_050834.wac,0,207.107,4.392,0_20160813_051201_107,05:12:01,5,17:12:01,17,RHFE,10,10,0.737092,,12,81.046,-4.24,10.196,84.357,77.955,81.038,40.968,80.972,5.362,114.733,9.736,5.43,1,RHFE PIPI,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,728.068,2.331,0_20160809_212421_068,21:24:21,21,09:24:21,9,RHFE,8,8,0.563536,,8,81.973,1.21,15.604,84.624,75.685,81.858,48.561,82.283,1.873,-309.119,11.046,7.73,1,RHFE,
Gunnislake,08/08/2016,16,K2,,20160809_211213.wac,0,870.504,2.295,0_20160809_212643_504,21:26:43,21,09:26:43,9,RHFE,8,8,0.578219,,9,82.218,-4.08,12.665,85.718,74.621,81.916,39.485,82.128,4.385,98.75,9.734,2.68,1,RHFE,
