Site,Survey date,Site Number,Detector number,FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID,,,,,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1769.984,73.815,0_20160727_000643_984,27/07/2016,00:06:43,0,26/07/2016,12:06:43,12,PIPY,535,486,0.447408,BABA;RHFE;MYNA;MYBE;RHHI;EPSE;NYLE;MYDAU;PLAUR,565,54.64,36.8,2.911,66.232,53.998,57.222,130.548,56.493,1.265,335.408,2.644,134.46,1,PIPY PIPY RHFE PIPY PIPY,,,2386,1,
Buckfastleigh,,138,T1,,20160728_233414.wac,0,1980.98,11.019,0_20160729_000714_980,29/07/2016,00:07:14,0,28/07/2016,12:07:14,12,PIPY,86,70,0.333354,BABA;RHFE;MYNA;MYBR;VEMU,86,55.569,26.06,4.286,67.279,54.68,57.845,105.101,57.1,1.428,314.113,3.834,42.4,1,PIPY RHFE,,,1872,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1709.945,11.953,0_20160726_000742_945,26/07/2016,00:07:42,0,25/07/2016,12:07:42,12,PIPY,88,69,0.254282,BABA;RHFE;PLAUR,92,58.549,23.04,6.712,68.539,56.319,60.229,97.016,59.598,1.533,322.267,6.059,18.61,1,PIPY RHFE PIPY RHFE,,,1879,2,
Buckfastleigh,,122,R1,,20160730_233118.wac,0,2187.104,34.195,0_20160731_000745_104,31/07/2016,00:07:45,0,30/07/2016,12:07:45,12,RHHI,8,5,0.060179,RHFE,37,59.889,79.46,2.55,89.128,57.43,66.466,828.345,62.062,1.624,-299.955,2.25,18.18,1,RHFE,,,1129,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1722.145,10.053,0_20160726_000755_145,26/07/2016,00:07:55,0,25/07/2016,12:07:55,12,PIPY,49,44,0.42578,RHFE,52,56.258,34.57,4.651,67.303,55.257,58.542,146.78,57.861,1.249,345.352,4.373,26.77,1,PIPY RHFE,,,1712,1,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1849.16,36.739,0_20160727_000803_160,27/07/2016,00:08:03,0,26/07/2016,12:08:03,12,PIPY,219,171,0.172821,BABA;RHFE;PIPI;MYNA;MYBE;VEMU;EPSE,244,57.933,43.6,4.063,69.507,56.691,60.593,139.967,60.174,1.309,320.413,3.722,114.59,1,PIPY PIPY RHFE PIPY RHFE,,,2170,2,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1735.689,6.209,0_20160726_000808_689,26/07/2016,00:08:08,0,25/07/2016,12:08:08,12,PIPY,63,50,0.258711,BABA;RHFE;MYNA;MYBR,65,58.083,19.25,7.043,68.946,56.194,60.13,93.76,59.659,1.363,284.446,6.656,65.66,1,PIPY RHFE,,,1780,1,
Buckfastleigh,,138,T1,,20160727_233613.wac,0,1938.712,3.987,0_20160728_000831_712,28/07/2016,00:08:31,0,27/07/2016,12:08:31,12,RHFE,17,15,0.439547,BABA;PIPY,17,79.558,4.74,15.507,81.631,74.117,79.656,100.276,79.889,0.943,52.856,15.11,6.12,1,PIPY RHFE,,,1616,1,
Buckfastleigh,,138,T1,,20160725_233913.wac,0,1758.307,18.992,0_20160726_000831_307,26/07/2016,00:08:31,0,25/07/2016,12:08:31,12,PIPY,142,110,0.265028,BABA;RHFE;VEMU;NYLE;PLAUR,147,57.203,32.83,5.642,67.821,55.26,59.423,117.798,58.791,1.371,325.679,5.103,63.79,1,PIPY RHFE PIPY RHFE,,,2004,2,
Buckfastleigh,,138,T1,,20160726_233714.wac,0,1899.469,73.329,0_20160727_000853_469,27/07/2016,00:08:53,0,26/07/2016,12:08:53,12,PIPY,502,432,0.288848,BABA;RHFE;MYNA;MYBR;NYLE;VEMU;PLAUR;EPSE;MYDAU;NYNO,545,56.016,42.7,3.43,68.119,55.161,58.72,130.249,58.338,1.262,310.138,3.125,178.94,1,PIPY RHFE PIPY RHFE PIPY RHFE PIPY,,,2373,3,
